RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP1,0.24011369049549103,179.7914912700653,309.1542339324951,65533344
RBP2,0.3039000332355499,222.1165521144867,320.85615730285645,65533344
RBP3,0.03267684206366539,187.48800802230835,330.09077882766724,65533344
RBP4,0.0760592520236969,150.5717043876648,309.46791076660156,65533344
RBP5,0.18199226260185242,166.82439851760864,309.49536633491516,65533344
RBP6,0.24739421904087067,171.14825105667114,302.7877917289734,65533344
RBP7,0.33305445313453674,177.5130705833435,306.1864159107208,65533344
RBP8,0.015513671562075615,187.92271876335144,306.9279763698578,65533344
RBP9,0.09470267593860626,225.49268198013306,316.32979464530945,65533344
RBP10,0.053865380585193634,197.4494752883911,321.5838782787323,65533344
RBP11,-0.17692820727825165,421.79336977005005,308.41416907310486,65533344
RBP12,0.3943842053413391,164.0490436553955,321.6366732120514,65533344
RBP13,0.44013503193855286,159.8522171974182,312.8506109714508,65533344
RBP14,0.11086338013410568,194.8981068134308,314.70975613594055,65533344
RBP15,0.061529919505119324,202.9042866230011,297.8629467487335,65533344
RBP16,0.368052214384079,172.32833456993103,322.64122223854065,65533344
