RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP1,0.0330771841108799,342.86838555336,276.39655900001526,56629226
RBP2,0.29783400893211365,227.83185005187988,250.18249201774597,56629226
RBP3,0.05509211868047714,310.35763144493103,252.67843055725098,56629226
RBP4,0.0460415855050087,300.8251450061798,252.60727739334106,56629226
RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP1,0.06469438970088959,490.79311442375183,607.2641429901123,118198575
RBP2,0.3037819564342499,228.28377676010132,619.6258289813995,118198575
RBP3,-0.005750516429543495,428.0493357181549,718.6187961101532,118198575
RBP4,0.008247354067862034,467.5388607978821,608.7607915401459,118198575
