RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP1,0.2214232087135315,153.22327280044556,242.67812418937683, null
RBP2,0.31755581498146057,237.5875198841095,232.81533408164978, null
RBP3,-0.026232969015836716,149.51421284675598,246.08780193328857, null
RBP4,0.07841455191373825,135.92467713356018,236.58064150810242, null
RBP5,0.2709711790084839,142.74640440940857,234.5442497730255, null
RBP6,0.29792505502700806,116.82755255699158,235.075204372406, null
RBP7,0.2874755859375,254.14354848861694,234.92826080322266, null
RBP8,0.07279038429260254,124.73078989982605,230.41870641708374, null
RBP9,0.02267901599407196,154.54480385780334,219.80672430992126,70298095
RBP10,0.04426029324531555,130.2347550392151,244.90712118148804,70298095
RBP11,-0.05912134423851967,483.72843527793884,201.86955165863037,12207136
RBP12,0.3157885670661926,201.0283637046814,242.95606398582458,12207136
RBP13,0.3409540355205536,193.54665398597717,231.85653400421143,12207136
RBP14,0.011932393535971642,127.67391562461853,239.162006855011,12207136
RBP15,0.1516316682100296,140.70159888267517,203.55286860466003,12207136
RBP16,0.3414369821548462,194.89189386367798,231.02755427360535,12207136
